dataset_label,country_standardization_status,rows,source_country_codes,standardized_countries
Eurostat_Public_Debt_GDP,aggregate_or_region,96,4,0
Eurostat_Public_Debt_GDP,manual_map,648,27,27
OECD_GDP_Growth,aggregate_or_region,72,3,0
OECD_GDP_Growth,kept_iso3_like,971,41,41
OECD_GDP_Growth,manual_map,72,3,3
OECD_Inflation_CPI,aggregate_or_region,141,6,0
OECD_Inflation_CPI,kept_iso3_like,1045,45,45
OECD_Inflation_CPI,manual_map,71,3,3
OECD_Productivity_GDP_per_Hour,aggregate_or_region,68,3,0
OECD_Productivity_GDP_per_Hour,kept_iso3_like,865,38,38
OECD_Productivity_GDP_per_Hour,manual_map,58,3,3
OECD_RD_GDP,aggregate_or_region,46,2,0
OECD_RD_GDP,kept_iso3_like,930,44,44
OECD_RD_GDP,manual_map,68,3,3
OECD_Tertiary_Education,aggregate_or_region,28,3,0
OECD_Tertiary_Education,kept_iso3_like,847,45,45
OECD_Tertiary_Education,manual_map,68,3,3
OECD_Unemployment_Rate,aggregate_or_region,144,6,0
OECD_Unemployment_Rate,kept_iso3_like,1122,50,50
OECD_Unemployment_Rate,manual_map,72,3,3
WorldBank_Energy_Import_Dependency_Raw,aggregate_or_region,760,35,0
WorldBank_Energy_Import_Dependency_Raw,kept_iso3_like,2972,150,150
WorldBank_Energy_Import_Dependency_Raw,manual_map,66,3,3
WorldBank_Public_Debt_GDP,aggregate_or_region,100,8,0
WorldBank_Public_Debt_GDP,kept_iso3_like,1002,80,80
WorldBank_Public_Debt_GDP,manual_map,58,3,3
